Position_X,Position_Y,Position_Z,Rotation_Roll,Rotation_Pitch,Rotation_Yaw,Speed
185.015762,122.512718,19.651411,353.841064,2.743652,358.063446,50.000000
185.010849,122.492218,19.580616,353.850128,2.696869,358.008728,50.000000
185.007034,122.476303,19.525644,353.857178,2.660553,357.966248,50.000000
185.001068,122.477684,19.433954,353.825531,2.514252,357.931366,50.000000
184.996002,122.478859,19.356064,353.798737,2.389984,357.901825,50.000000
184.993088,122.490112,19.287312,353.785126,2.284546,357.899323,50.000000
184.992020,122.515175,19.180157,353.789520,2.200317,357.896484,50.000000
184.986145,122.541954,19.056267,353.805817,2.149353,357.843109,50.000000
184.979233,122.562706,18.963879,353.795776,2.087097,357.760193,50.000000
184.971268,122.585655,18.864620,353.786407,2.028320,357.681946,50.000000
184.964584,122.600685,18.794003,353.820557,1.951813,357.609863,50.000000
184.957550,122.619072,18.727547,353.842041,1.867065,357.569855,50.000000
184.948700,122.644814,18.648159,353.854340,1.791138,357.548248,50.000000
184.942474,122.672905,18.572525,353.865570,1.729797,357.527466,50.000000
184.936356,122.698006,18.503559,353.874390,1.681732,357.511169,50.000000
184.940964,122.723320,18.432217,353.890808,1.672943,357.498505,50.000000
184.944824,122.744522,18.372461,353.904572,1.665588,357.487915,50.000000
184.952026,122.760986,18.311819,353.914001,1.647858,357.497070,50.000000
184.957565,122.773666,18.265127,353.921265,1.634186,357.504120,50.000000
184.960938,122.780312,18.205912,353.929413,1.609741,357.501526,50.000000
184.964508,122.773453,18.113504,353.964783,1.678253,357.453613,50.000000
184.966904,122.749001,18.033922,353.992767,1.829559,357.356232,50.000000
184.968323,122.730476,17.950998,354.016418,1.958527,357.273285,50.000000
184.965378,122.692360,17.911465,354.064178,2.038116,357.158569,50.000000
184.963074,122.662567,17.880568,354.101410,2.100372,357.068970,50.000000
184.950607,122.619560,17.847887,354.157745,2.097260,356.990509,50.000000
184.929306,122.564857,17.798050,354.238739,2.059998,356.938019,50.000000
184.904861,122.499077,17.742523,354.348083,1.978455,356.917603,50.000000
184.883392,122.451424,17.711180,354.438965,1.929993,356.933990,50.000000
184.854828,122.393707,17.686655,354.567749,1.901093,356.974213,50.000000
184.833344,122.350288,17.668205,354.664612,1.879303,357.004425,50.000000
184.802307,122.298424,17.642349,354.773926,1.822876,357.043060,50.000000
184.777420,122.258156,17.615520,354.853027,1.782013,357.070984,50.000000
184.752838,122.217117,17.604826,354.932159,1.695923,357.071899,50.000000
184.730072,122.180443,17.589802,354.998169,1.624084,357.072571,50.000000
184.710541,122.142700,17.582212,355.041046,1.521240,357.093903,50.000000
184.694626,122.111954,17.576029,355.075928,1.437408,357.111237,50.000000
184.686310,122.076805,17.576880,355.188965,1.308380,357.146820,50.000000
184.679398,122.049179,17.584154,355.294586,1.215729,357.149750,50.000000
184.672791,122.026253,17.586718,355.374207,1.145874,357.151825,50.000000
184.665268,122.005760,17.591209,355.433044,1.088379,357.128998,50.000000
184.654846,121.989235,17.584923,355.457245,0.999268,357.115295,50.000000
184.640930,121.971802,17.562176,355.438202,0.831207,357.113770,50.000000
184.628769,121.956642,17.542330,355.423767,0.703705,357.112640,50.000000
184.624069,121.948288,17.524296,355.410767,0.578979,357.116028,50.000000
184.613144,121.932388,17.507309,355.423401,0.474243,357.111694,50.000000
184.603806,121.918800,17.492788,355.434235,0.384705,357.107971,50.000000
184.593857,121.907059,17.477728,355.447113,0.309723,357.098846,50.000000
184.585938,121.897720,17.465746,355.457367,0.250061,357.091583,50.000000
184.570236,121.886658,17.447565,355.454315,0.184784,357.080048,50.000000
184.541916,121.876091,17.422028,355.438080,0.105804,357.059174,50.000000
184.516449,121.865562,17.398518,355.424866,0.041351,357.042145,50.000000
184.496948,121.857353,17.382364,355.419861,359.994537,357.019104,50.000000
184.479660,121.850075,17.368040,355.415436,359.953033,356.998688,50.000000
184.456421,121.837196,17.342855,355.444855,359.904388,356.955261,50.000000
184.435883,121.825478,17.320580,355.468201,359.865814,356.920807,50.000000
184.417679,121.815620,17.294827,355.490326,359.816711,356.893188,50.000000
184.401611,121.804947,17.263306,355.516113,359.788849,356.879669,50.000000
184.393585,121.798477,17.235703,355.530365,359.776276,356.878601,50.000000
184.386337,121.792648,17.210825,355.543182,359.764954,356.877625,50.000000
184.378708,121.786514,17.188808,355.552979,359.756317,356.876892,50.000000
184.367645,121.783051,17.157789,355.546448,359.782349,356.884033,50.000000
184.362259,121.772629,17.130272,355.561279,359.790497,356.872314,50.000000
184.355637,121.761864,17.102793,355.574341,359.797699,356.861969,50.000000
184.354172,121.754471,17.076014,355.564911,359.772949,356.864136,50.000000
184.352661,121.750664,17.039736,355.540314,359.718658,356.888031,50.000000
184.352356,121.752541,17.005989,355.546478,359.648987,356.937408,50.000000
184.352081,121.754211,16.975887,355.551941,359.586853,356.981445,50.000000
184.345886,121.753464,16.943861,355.570190,359.507263,357.000427,50.000000
184.330719,121.748238,16.908611,355.609863,359.454498,356.975098,50.000000
184.312576,121.743401,16.872469,355.641968,359.426483,356.944550,50.000000
184.294235,121.738434,16.828804,355.678711,359.406006,356.933868,50.000000
184.277145,121.732933,16.789562,355.708313,359.389526,356.925262,50.000000
184.262863,121.728333,16.756762,355.733032,359.375763,356.918060,50.000000
184.245834,121.714989,16.711384,355.784393,359.331146,356.924683,50.000000
184.232010,121.705879,16.676916,355.841858,359.281677,356.929138,50.000000
184.218964,121.697144,16.645988,355.887909,359.242004,356.932678,50.000000
184.209595,121.686455,16.611301,355.920044,359.205292,356.935394,50.000000
184.197174,121.670212,16.568712,355.932098,359.172211,356.936340,50.000000
184.186752,121.656578,16.532972,355.942230,359.144470,356.937134,50.000000
184.169312,121.632233,16.478617,355.936127,359.106293,356.938843,50.000000
184.159866,121.617027,16.442125,355.921021,359.065338,356.941742,50.000000
184.148224,121.597786,16.395086,355.908051,359.030121,356.941620,50.000000
184.132217,121.574661,16.336788,355.864410,359.043823,356.910278,50.000000
184.118134,121.555840,16.289190,355.833282,359.053589,356.887909,50.000000
184.105774,121.539322,16.247421,355.805939,359.062134,356.868286,50.000000
184.105499,121.517296,16.230906,355.755157,359.179047,356.784119,50.000000
184.106201,121.493469,16.217865,355.732178,359.253418,356.718018,50.000000
184.105103,121.474663,16.204250,355.715576,359.306854,356.670471,50.000000
184.103149,121.449738,16.182961,355.722717,359.336029,356.673615,50.000000
184.101761,121.431999,16.167807,355.727783,359.356812,356.675842,50.000000
184.104080,121.416885,16.156935,355.807159,359.358215,356.718353,50.000000
184.104340,121.402000,16.143551,355.871735,359.359314,356.752930,50.000000
184.102661,121.388901,16.134310,355.969543,359.346649,356.802124,50.000000
184.105576,121.396187,16.123606,355.837646,359.271729,356.916962,50.000000
184.124634,121.408089,16.114706,355.708466,359.270752,357.039307,50.000000
184.138443,121.421120,16.118036,355.682373,359.304688,357.091095,50.000000
184.155090,121.441757,16.130791,355.669495,359.344208,357.151276,50.000000
184.167480,121.456253,16.137594,355.659607,359.374634,357.197601,50.000000
184.177597,121.468079,16.143145,355.651550,359.399475,357.235382,50.000000
184.198013,121.493164,16.160376,355.676697,359.431274,357.232513,50.000000
184.222977,121.529610,16.180479,355.720001,359.530609,357.199554,50.000000
184.242996,121.558571,16.193022,355.754242,359.609222,357.173523,50.000000
184.264786,121.589287,16.212210,355.805359,359.688660,357.128265,50.000000
184.289673,121.615776,16.239693,355.836121,359.750793,357.098511,50.000000
184.313873,121.638588,16.270712,355.853149,359.796783,357.080383,50.000000
184.335403,121.658669,16.295649,355.867706,359.836151,357.064880,50.000000
184.351959,121.674110,16.314829,355.878906,359.866425,357.052948,50.000000
184.359360,121.706421,16.342041,355.896820,359.883698,357.069946,50.000000
184.365372,121.731880,16.367554,355.943665,359.900879,357.086914,50.000000
184.371078,121.754959,16.389284,355.984772,359.915955,357.101807,50.000000
184.373398,121.771095,16.407728,356.053314,359.938599,357.110840,50.000000
184.374466,121.785080,16.425344,356.127533,359.971985,357.119720,50.000000
184.375351,121.796768,16.440067,356.189575,359.999878,357.127167,50.000000
184.374252,121.806427,16.451656,356.250610,0.029022,357.123199,50.000000
184.367538,121.823326,16.456470,356.285156,0.061035,357.123749,50.000000
184.352432,121.844887,16.454723,356.313080,0.092560,357.129883,50.000000
184.335297,121.864120,16.451057,356.327332,0.113953,357.133636,50.000000
184.320221,121.881943,16.446768,356.339569,0.132324,357.136871,50.000000
184.308014,121.896370,16.443296,356.349487,0.147217,357.139496,50.000000
184.292038,121.909447,16.438860,356.357361,0.149780,357.147552,50.000000
184.273590,121.942307,16.426065,356.336365,0.082489,357.208923,50.000000
184.258301,121.975594,16.414688,356.309509,0.036194,357.270264,50.000000
184.245972,122.002579,16.405132,356.288788,0.000580,357.317535,50.000000
184.240234,122.026886,16.397951,356.276489,359.975311,357.354065,50.000000
184.235519,122.046898,16.392038,356.266357,359.954498,357.384155,50.000000
184.238861,122.076027,16.387432,356.267975,359.952881,357.418152,50.000000
184.241394,122.101372,16.382854,356.269287,359.951569,357.445831,50.000000
184.242584,122.120522,16.380632,356.272125,359.941071,357.492310,50.000000
184.243546,122.136078,16.378826,356.274414,359.932526,357.530090,50.000000
184.243347,122.154190,16.375402,356.263489,359.911926,357.588989,50.000000
184.243652,122.186653,16.370928,356.230682,359.926727,357.674896,50.000000
184.243912,122.213684,16.367203,356.203400,359.939087,357.746399,50.000000
184.236267,122.252632,16.361187,356.212891,359.954926,357.805542,50.000000
184.222778,122.293365,16.348188,356.238892,359.927032,357.845551,50.000000
184.211243,122.328850,16.336651,356.259888,359.904510,357.877869,50.000000
184.207764,122.368324,16.323111,356.235657,359.847565,357.929565,50.000000
184.208893,122.409142,16.308899,356.183411,359.783478,357.990662,50.000000
184.208847,122.442421,16.297043,356.152039,359.726624,358.038849,50.000000
184.208557,122.471497,16.286777,356.126648,359.680725,358.077820,50.000000
184.212112,122.501930,16.278429,356.109070,359.643585,358.108246,50.000000
184.216080,122.525162,16.268492,356.096069,359.626740,358.126099,50.000000
184.219437,122.544792,16.260096,356.085083,359.612488,358.141174,50.000000
184.223282,122.556320,16.245026,356.122070,359.605011,358.086639,50.000000
184.217880,122.561188,16.244333,356.210388,359.756744,357.952026,50.000000
184.211380,122.548126,16.263811,356.560089,0.037079,357.760132,50.000000
184.208160,122.535210,16.277300,356.792572,0.191284,357.647675,50.000000
184.205963,122.514053,16.293308,357.016937,0.367615,357.502747,50.000000
184.205353,122.488754,16.302784,357.057983,0.543274,357.345184,50.000000
184.204544,122.471695,16.308407,357.088623,0.675873,357.226410,50.000000
184.208420,122.460068,16.308264,0,0.805969,357.143372,50.000000
